x,y,z,name
-73.27,42.298,25.81,S01
-76.74,24.171,25.81,S02
-73.27,6.048,25.81,S03
-69.77,0.01,25.81,S04
-76.795,-11.999,25.81,S05
-73.27,-30.212,25.81,S06
-73.26,-42.292,25.81,S07
-55.81,-48.329,25.81,S08
-52.34,-30.212,25.81,S09
-55.81,-12.079,25.81,S10
-52.34,6.048,25.81,S11
-55.81,24.171,25.81,S12
-52.33,42.288,25.81,S13
-52.32,54.368,25.81,S14
-34.88,60.421,25.81,S15
-31.4,42.288,25.81,S16
-27.91,36.26,25.81,S17
-34.87,24.171,25.81,S18
-31.41,6.048,25.81,S19
-34.88,-12.079,25.81,S20
-31.41,-30.212,25.81,S21
-34.88,-48.329,25.81,S22
-41.87,-60.422,25.81,S23
-31.4,-66.462,25.81,S24
-10.47,-78.542,25.81,S25
-10.47,-66.462,25.81,S26
-13.95,-48.329,25.81,S27
-17.45,-42.28,25.81,S28
-10.48,-30.212,25.81,S29
-13.95,-12.079,25.81,S30
-10.47,6.038,25.81,S31
-13.94,24.171,25.81,S32
-10.47,42.288,25.81,S33
-13.95,60.421,25.81,S34
-20.93,72.498,25.81,S35
-10.47,78.538,25.81,S36
6.98,84.591,25.81,S37
17.436,78.535,25.81,S38
6.98,60.421,25.81,S39
10.46,42.288,25.81,S40
6.99,24.171,25.81,S41
10.46,6.038,25.81,S42
6.98,-12.079,25.81,S43
10.46,-30.212,25.81,S44
6.98,-48.329,25.81,S45
10.46,-66.462,25.81,S46
6.983,-84.588,25.81,S47
20.92,-72.502,25.81,S48
31.39,-66.462,25.81,S49
34.88,-60.41,25.81,S50
27.91,-48.329,25.81,S51
31.39,-30.212,25.81,S52
27.92,-12.089,25.81,S53
31.39,6.038,25.81,S54
27.92,24.171,25.81,S55
31.39,42.288,25.81,S56
27.91,60.421,25.81,S57
34.88,60.43,25.81,S58
27.91,72.501,25.81,S59
48.85,60.421,25.81,S60
52.32,42.288,25.81,S61
48.85,24.171,25.81,S62
45.34,6.05,25.81,S63
52.32,6.038,25.81,S64
48.85,-12.089,25.81,S65
52.32,-30.212,25.81,S66
48.84,-48.329,25.81,S67
48.85,-60.419,25.81,S68
69.78,-48.339,25.81,S69
73.26,-30.212,25.81,S70
69.77,-12.079,25.81,S71
73.25,6.038,25.81,S72
69.77,24.171,25.81,S73
73.25,42.298,25.81,S74
62.78,48.328,25.81,S75
