X,Y,Z,hole
150.0,0.0,0.0,0.0
114.48,144.34,25.79,S01
111.019,162.452,25.791,S02
114.521,180.55,25.787,S03
118.035,186.582,25.785,S04
111.041,198.592,25.772,S05
114.602,216.816,25.755,S06
114.62,228.9,25.75,S07
132.056,234.924,25.761,S08
135.512,216.8,25.77,S09
131.97,174.512,25.795,S10
135.197,180.746,25.796,S11
131.953,162.435,25.794,S12
135.422,144.325,25.794,S13
135.428,132.238,25.794,S14
152.84,126.138,25.801,S15
156.343,144.275,25.804,S16
159.839,150.297,25.808,S17
152.896,162.396,25.807,S18
156.374,180.505,25.816,S19
152.924,198.634,25.81,S20
156.409,216.767,25.804,S21
152.958,234.893,25.786,S22
145.978,246.993,25.776,S23
156.444,253.019,25.781,S24
177.383,265.091,25.768,S25
177.377,253.008,25.778,S26
173.876,234.871,25.803,S27
170.369,228.823,25.809,S28
177.314,216.743,25.839,S29
173.829,198.608,25.851,S30
177.304,180.491,25.846,S31
173.823,162.365,25.824,S32
177.256,144.241,25.813,S33
173.721,126.098,25.805,S34
166.727,114.021,25.803,S35
177.139,107.963,25.802,S36
194.55,101.9,25.8,S37
205.026,107.958,25.802,S38
194.624,126.081,25.806,S39
198.187,144.223,25.817,S40
194.756,162.349,25.833,S41
198.232,180.483,25.859,S42
194.74,198.6,25.88,S43
198.246,216.735,25.853,S44
194.809,234.86,25.807,S45
198.313,253.006,25.772,S46
194.84,271.14,25.76,S47
208.778,259.044,25.77,S48
219.261,252.986,25.779,S49
222.761,246.923,25.783,S50
215.767,234.845,25.799,S51
219.222,216.723,25.823,S52
215.711,198.605,25.851,S53
219.185,180.472,25.84,S54
215.704,162.333,25.83,S55
219.154,144.206,25.822,S56
215.604,126.074,25.812,S57
222.603,126.06,25.816,S58
215.557,113.993,25.807,S59
236.633,126.055,25.825,S60
240.144,144.177,25.832,S61
236.669,162.309,25.829,S62
233.159,180.447,25.827,S63
240.15,180.453,25.823,S64
236.7,198.587,25.814,S65
240.234,216.697,25.787,S66
236.776,234.811,25.776,S67
236.779,246.907,25.775,S68
257.77,234.8,25.76,S69
261.214,216.683,25.772,S70
257.657,198.563,25.798,S71
261.099,180.44,25.818,S72
257.612,162.289,25.833,S73
261.1,144.15,25.84,S74
250.621,138.126,25.837,S75
