X,Y,Z,hole
117.698,156.617,114.48,S01
109.939,173.221,111.019,S02
109.715,183.485,114.521,S03
112.014,188.389,118.035,S04
112.484,221.414,114.602,S06
110.208,232.268,114.62,S07
128.885,241.428,132.056,S08
134.694,228.227,135.512,S09
133.185,176.198,131.953,S12
137.383,157.263,135.422,S13
138.973,144.777,135.428,S14
153.247,132.211,152.84,S15
158.436,148.096,156.343,S16
162.529,156.004,159.839,S17
157.024,169.927,152.896,S18
157.353,181.036,156.374,S19
155.685,200.879,152.924,S20
154.519,225.095,156.409,S21
153.435,243.617,152.958,S22
146.326,254.272,145.978,S23
153.955,259.157,156.444,S24
183.486,273.096,177.383,S25
183.552,265.432,177.377,S26
183.191,247.946,173.876,S27
178.64,240.68,170.369,S28
178.639,228.992,177.314,S29
181.177,203.888,173.829,S30
182.645,185.586,177.304,S31
185.915,170.937,173.823,S32
183.913,149.141,177.256,S33
179.104,129.624,173.721,S34
172.341,118.145,166.727,S35
173.732,112.882,177.139,S36
183.552,110.618,194.55,S37
189.582,115.493,205.026,S38
195.755,125.991,194.624,S39
201.479,146.379,198.187,S40
207.101,167.55,194.756,S41
202.701,184.041,198.232,S42
199.437,204.185,194.74,S43
197.235,227.179,198.246,S44
203.675,246.084,194.809,S45
201.283,265.569,198.313,S46
205.28,282.809,194.84,S47
205.985,273.226,208.778,S48
208.81,266.6,219.261,S49
222.62,259.612,222.761,S50
212.59,250.16,215.767,S51
208.182,230.03,219.222,S52
207.904,208.992,215.711,S53
209.649,188.918,219.185,S54
215.449,172.934,215.704,S55
213.313,151.099,219.154,S56
208.322,131.353,215.604,S57
216.726,133.058,222.603,S58
202.863,124.255,215.557,S59
237.781,126.594,236.633,S60
240.631,143.641,240.144,S61
239.836,165.304,236.669,S62
234.25,184.471,233.159,S63
233.655,182.852,240.15,S64
236.645,202.706,236.7,S65
241.338,224.556,240.234,S66
244.578,241.551,236.776,S67
241.226,253.364,236.779,S68
261.542,242.74,257.77,S69
259.978,229.154,261.214,S70
254.353,206.3,257.657,S71
248.599,189.104,261.099,S72
255.479,171.237,257.612,S73
257.445,149.27,261.1,S74
256.554,139.782,250.621,S75
