y_coord,x_coord
0,182
0,403
1,182
1,403
2,182
2,403
3,182
3,403
4,182
4,403
5,182
5,403
6,182
6,403
7,182
7,403
8,182
8,403
9,182
9,403
10,182
10,403
11,182
11,403
12,182
12,403
13,182
13,403
14,182
14,403
15,182
15,403
16,182
16,403
17,182
17,403
18,182
18,403
19,182
19,403
20,182
20,403
21,182
21,403
22,182
22,403
23,182
23,403
24,182
24,403
25,182
25,403
26,182
26,403
27,182
27,403
28,182
28,403
29,183
29,403
30,183
30,403
31,183
31,403
32,183
32,403
33,181
33,182
33,404
34,181
34,404
35,180
35,404
36,180
36,405
37,179
37,405
38,179
38,406
39,179
39,406
40,179
40,407
41,178
41,407
42,178
42,407
43,178
43,407
44,178
44,407
45,178
45,408
46,178
46,408
47,178
47,408
48,178
48,408
49,178
49,408
50,177
50,409
51,177
51,409
52,177
52,410
53,177
53,410
54,177
54,410
55,177
55,411
56,177
56,411
57,176
57,411
58,175
58,176
58,411
59,175
59,412
60,174
60,412
61,174
61,412
62,173
62,413
63,173
63,413
63,414
64,173
64,414
64,415
65,173
65,416
65,417
66,173
66,417
67,173
67,418
68,172
68,418
69,172
69,419
70,172
70,419
70,420
71,171
71,420
71,421
72,171
72,421
73,171
73,422
74,170
74,171
74,422
75,169
75,170
75,422
76,167
76,168
76,422
77,166
77,167
77,422
78,165
78,166
78,423
78,424
79,164
79,165
79,425
79,426
80,162
80,163
80,427
80,428
81,162
81,429
81,430
82,161
82,431
82,432
83,161
83,432
83,433
84,160
84,433
84,434
85,160
85,434
85,435
86,160
86,435
86,436
87,159
87,437
87,438
88,158
88,159
88,438
88,439
89,157
89,158
89,439
89,440
90,154
90,155
90,156
90,440
90,441
91,152
91,153
91,441
91,442
92,151
92,152
92,442
92,443
93,150
93,151
93,443
93,444
94,150
94,444
94,445
95,149
95,445
95,446
96,148
96,149
96,447
96,448
97,147
97,148
97,448
97,449
98,145
98,146
98,449
98,450
99,144
99,145
99,450
99,451
100,143
100,144
100,451
100,452
101,141
101,142
101,452
101,453
102,140
102,141
102,453
103,139
103,140
103,453
104,137
104,138
104,454
104,455
104,456
104,457
104,458
105,136
105,137
105,459
105,460
105,461
106,136
106,462
106,463
107,135
107,464
107,465
108,133
108,134
108,135
108,465
109,131
109,132
109,466
110,129
110,130
110,466
111,128
111,129
111,467
112,126
112,127
112,467
112,468
113,125
113,126
113,468
113,469
113,470
114,123
114,124
114,471
114,472
115,121
115,122
115,473
115,474
116,119
116,120
116,474
116,475
116,476
116,477
117,117
117,118
117,478
117,479
118,115
118,116
118,117
118,479
118,480
119,113
119,114
119,481
119,482
119,483
120,111
120,112
120,484
120,485
121,110
121,111
121,486
121,487
121,488
121,489
122,109
122,490
122,491
123,108
123,491
123,492
124,107
124,108
124,493
125,101
125,102
125,103
125,104
125,105
125,106
125,107
125,494
126,99
126,100
126,494
126,495
127,98
127,99
127,495
127,496
128,97
128,98
128,496
128,497
129,96
129,97
129,497
129,498
130,94
130,95
130,498
130,499
131,93
131,94
131,500
131,501
132,91
132,92
132,501
132,502
132,503
133,90
133,91
133,504
133,505
134,87
134,88
134,89
134,90
134,506
134,507
135,85
135,86
135,507
135,508
136,84
136,85
136,509
136,510
137,84
137,510
137,511
138,83
139,81
139,82
140,80
140,81
141,78
141,79
142,76
142,77
143,74
143,75
144,72
144,73
145,71
145,72
146,70
146,71
147,68
147,69
148,66
148,67
149,64
149,65
150,64
151,59
151,60
151,61
151,62
151,63
152,56
152,57
152,58
153,54
153,55
154,53
154,54
155,52
155,53
156,51
156,52
157,50
157,51
158,48
158,49
158,50
159,46
159,47
160,45
160,46
161,44
161,45
162,42
162,43
163,40
163,41
164,39
164,40
165,39
166,38
167,38
168,38
169,38
170,38
171,23
171,24
171,25
171,26
171,27
171,28
171,29
171,30
171,31
171,32
171,33
171,34
171,35
171,36
171,37
171,38
172,21
172,22
173,20
173,21
174,19
174,20
175,18
175,19
176,17
176,18
177,15
177,16
178,13
178,14
179,11
179,12
180,9
180,10
181,8
181,9
182,7
182,8
183,5
183,6
184,4
184,5
185,2
185,3
186,1
186,2
187,0
187,1
281,286
282,283
282,284
282,285
282,287
282,288
282,289
282,290
282,291
282,292
282,293
283,280
283,281
283,282
283,294
283,295
283,296
283,297
283,298
284,275
284,276
284,277
284,278
284,279
284,299
284,300
284,301
284,302
284,303
284,304
284,305
284,306
284,307
284,308
285,273
285,274
285,309
285,310
286,271
286,272
286,310
286,311
287,269
287,270
287,312
287,313
288,268
288,269
288,314
288,315
288,316
289,266
289,267
289,317
289,318
289,319
289,320
290,264
290,265
290,266
290,321
290,322
290,323
291,260
291,261
291,262
291,263
291,324
291,325
292,257
292,258
292,259
292,326
292,327
293,255
293,256
293,328
293,329
294,253
294,254
294,330
294,331
295,251
295,252
295,253
295,331
295,332
296,247
296,248
296,249
296,250
296,333
296,334
297,245
297,246
297,335
297,336
298,243
298,244
298,337
298,338
298,339
299,238
299,239
299,240
299,241
299,242
299,243
299,340
299,341
299,342
300,236
300,237
300,343
300,344
300,345
300,346
301,235
301,236
301,347
301,348
301,349
302,234
302,235
302,350
302,351
302,352
303,234
303,353
303,354
304,232
304,233
304,355
304,356
305,228
305,229
305,230
305,231
305,357
305,358
306,226
306,227
306,358
306,359
307,226
307,359
307,360
308,225
308,361
308,362
308,363
308,364
309,224
309,225
309,365
309,366
310,222
310,223
310,367
310,368
311,220
311,221
311,369
311,370
311,371
312,216
312,217
312,218
312,219
312,372
312,373
313,214
313,215
313,373
314,212
314,213
314,374
315,211
315,212
315,374
315,375
315,376
316,209
316,210
316,211
316,377
316,378
317,205
317,206
317,207
317,208
317,379
317,380
318,203
318,204
318,381
318,382
319,201
319,202
319,382
319,383
319,384
320,200
320,201
320,385
320,386
320,387
321,198
321,199
321,388
321,389
322,196
322,197
322,390
322,391
323,195
323,196
323,391
323,392
324,194
324,195
324,392
324,393
325,193
325,194
325,393
325,394
326,192
326,193
326,395
326,396
327,190
327,191
327,396
327,397
328,188
328,189
328,398
328,399
329,185
329,186
329,187
329,400
329,401
329,402
329,403
329,404
329,405
330,182
330,183
330,184
330,406
330,407
331,181
331,407
331,408
332,180
332,408
332,409
333,175
333,176
333,177
333,178
333,179
333,409
333,410
333,411
333,412
334,173
334,174
334,413
334,414
335,172
335,173
335,414
335,415
336,171
336,172
336,415
336,416
337,170
337,171
337,416
337,417
338,168
338,169
338,417
338,418
338,419
339,165
339,166
339,167
339,420
339,421
340,163
340,164
340,422
340,423
341,162
341,163
341,423
341,424
342,162
342,424
342,425
343,161
343,426
343,427
344,159
344,160
344,428
344,429
345,155
345,156
345,157
345,158
345,429
345,430
346,153
346,154
346,430
346,431
347,151
347,152
347,432
347,433
348,149
348,150
348,433
348,434
349,147
