y_coord,x_coord
0,142
0,362
1,142
1,362
2,142
2,362
3,142
3,362
4,142
4,362
5,142
5,362
6,142
6,362
7,142
7,362
8,142
8,362
9,142
9,362
10,142
10,362
11,142
11,362
12,142
12,362
13,142
13,362
14,142
14,362
15,142
15,362
16,142
16,362
17,142
17,362
18,142
18,362
19,142
19,363
20,142
20,363
21,142
21,364
22,141
22,364
23,141
23,364
24,141
24,364
25,141
25,364
26,141
26,364
27,141
27,364
28,141
28,364
29,141
29,364
30,141
30,364
31,141
31,364
32,141
32,364
33,140
33,364
34,140
34,364
35,140
35,364
36,140
36,364
37,140
37,364
38,140
38,364
39,140
39,364
40,140
40,364
41,140
41,364
42,140
42,364
43,140
43,364
44,140
44,365
45,140
45,365
46,140
46,366
47,140
47,366
48,140
48,366
49,140
49,366
50,139
50,366
51,139
51,366
52,139
52,366
53,139
53,366
54,139
54,366
55,139
55,366
56,139
56,366
57,139
57,366
58,139
58,366
59,138
59,366
60,138
60,366
61,138
61,367
62,137
62,367
63,137
63,368
64,136
64,368
64,369
65,136
65,369
66,136
66,370
67,136
67,370
68,136
68,370
69,136
69,371
70,136
70,371
71,136
71,372
72,135
72,372
72,373
73,135
73,373
74,135
74,374
75,135
75,374
76,135
76,375
77,134
77,375
77,376
78,132
78,133
78,376
78,377
79,131
79,132
79,377
79,378
80,131
80,378
80,379
81,130
81,379
81,380
82,130
82,380
82,381
83,129
83,382
83,383
84,128
84,129
84,383
84,384
85,127
85,128
85,384
86,125
86,126
86,385
87,124
87,125
87,385
87,386
88,123
88,124
88,386
89,122
89,123
89,387
90,121
90,122
90,387
90,388
91,120
91,121
91,389
91,390
92,119
92,120
92,391
92,392
93,118
93,119
93,393
93,394
94,117
94,118
94,395
94,396
95,116
95,117
95,396
95,397
96,115
96,116
96,397
96,398
97,114
97,115
97,399
97,400
98,113
98,114
98,401
98,402
99,112
99,113
99,402
100,111
100,112
100,403
101,110
101,111
101,403
101,404
101,405
102,109
102,110
102,406
102,407
103,109
103,407
103,408
104,108
104,408
104,409
105,108
105,409
105,410
106,104
106,105
106,106
106,107
106,108
106,411
106,412
107,102
107,103
107,412
107,413
108,101
108,102
108,414
108,415
109,100
109,101
109,415
109,416
110,99
110,100
110,416
110,417
111,96
111,97
111,98
111,99
111,418
111,419
111,420
112,94
112,95
112,421
112,422
113,93
113,423
113,424
114,92
114,424
114,425
115,92
115,425
115,426
116,91
116,426
116,427
117,91
117,427
117,428
118,91
118,428
118,429
119,86
119,87
119,88
119,89
119,90
119,91
119,430
119,431
119,432
120,83
120,84
120,85
120,433
120,434
120,435
121,82
121,436
121,437
122,81
122,437
122,438
123,80
123,81
123,439
123,440
124,78
124,79
124,80
124,440
124,441
125,69
125,70
125,71
125,72
125,73
125,74
125,75
125,76
125,77
125,441
125,442
126,67
126,68
126,442
126,443
127,67
127,443
127,444
128,66
128,444
128,445
128,446
128,447
129,66
129,448
129,449
130,66
130,450
130,451
131,65
131,66
131,451
131,452
132,63
132,64
132,65
132,452
133,61
133,62
133,453
134,60
134,454
134,455
135,59
135,455
135,456
136,58
136,59
136,457
136,458
136,459
136,460
137,57
137,58
137,461
137,462
138,56
138,57
138,462
138,463
139,55
139,56
139,463
139,464
140,53
140,54
140,464
140,465
141,51
141,52
141,465
141,466
142,51
142,467
142,468
143,50
143,468
143,469
143,470
144,50
144,471
144,472
145,49
145,472
145,473
146,49
146,474
146,475
147,49
147,475
147,476
148,41
148,42
148,43
148,44
148,45
148,46
148,47
148,48
148,49
148,477
148,478
148,479
149,38
149,39
149,40
149,480
149,481
150,36
150,37
150,481
150,482
151,35
151,36
151,483
151,484
152,33
152,34
152,35
152,485
152,486
153,31
153,32
153,487
153,488
154,30
154,489
154,490
155,29
155,491
155,492
156,29
156,492
156,493
156,494
157,29
157,495
157,496
158,29
158,497
158,498
159,29
159,498
159,499
160,29
160,499
160,500
161,29
161,500
161,501
162,29
162,502
162,503
163,14
163,15
163,16
163,17
163,18
163,19
163,20
163,21
163,22
163,23
163,24
163,29
163,503
163,504
164,12
164,13
164,25
164,26
164,27
164,505
164,506
165,7
165,8
165,9
165,10
165,11
165,28
165,507
165,508
166,5
166,6
166,509
166,510
166,511
167,5
168,4
169,4
170,4
171,4
172,4
173,4
174,4
175,0
175,1
175,2
175,3
175,4
292,252
293,247
293,248
293,249
293,250
293,251
293,253
293,254
294,241
294,242
294,243
294,244
294,245
294,246
294,254
294,255
295,240
295,255
295,256
295,257
295,258
295,259
295,260
295,261
295,262
295,263
295,264
295,265
295,266
296,239
296,267
296,268
296,269
296,270
296,271
296,272
297,237
297,238
297,239
297,273
297,274
298,235
298,236
298,275
298,276
299,234
299,235
299,276
299,277
300,228
300,229
300,230
